Indicator,Country code,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Net incurrence of liabilities,US,"760.383,00","264.368,00","384.377,00","262.003,00","-150.365,00"
Equity and investment fund shares,US,"2.585,00","-116.586,00","298.519,00","-5.636,00","-173.712,00"
Central bank,US,"0,00","0,00","0,00","0,00","0,00"
"Deposit-taking corporations, except the central bank",US,"-1.302,00","-2.132,00","4.256,00","-94,00","-3.332,00"
General government,US,"0,00","0,00","0,00","0,00","0,00"
Other sectors,US,"3.887,00","-114.454,00","294.263,00","-5.542,00","-170.380,00"
of which: other financial corporations,US,"2.975,00","-34.798,00","96.670,00","-1.807,00","-57.090,00"
Debt securities,US,"757.798,00","380.954,00","85.858,00","267.639,00","23.347,00"
Central bank,US,"0,00","0,00","0,00","0,00","0,00"
"Deposit-taking corporations, except the central bank",US,"76.097,00","58.489,00","-9.218,00","28.569,00","-1.743,00"
General government,US,"395.554,00","215.119,00","28.170,00","131.003,00","21.262,00"
Other sectors,US,"286.147,00","107.346,00","66.906,00","108.067,00","3.828,00"
of which: other financial corporations,US,"199.826,00","22.794,00","79.670,00","68.393,00","28.969,00"
Financial derivatives (other than reserves) and employee stock options,US,"-80.698,00","6.102,00","-45.911,00","-33.940,00","-6.949,00"
Other investment,US,"-336.083,00","-222.517,00","34.499,00","-147.460,00","-605,00"
Net acquisition of financial assets,US,"30.065,00","58.790,00","29.903,00","-10.549,00","-48.079,00"
Other equity,US,"2.370,00","300,00","1.570,00","335,00","165,00"
Debt instruments,US,"27.695,00","58.490,00","28.333,00","-10.884,00","-48.244,00"
Central bank,US,"-2.928,00","-2.974,00","-19,00","-47,00","112,00"
"Deposit-taking corporations, except the central bank",US,"103.809,00","22.784,00","38.601,00","-2.142,00","44.566,00"
General government,US,"1,00","-6,00","62,00","-363,00","308,00"
Other sectors,US,"-73.187,00","38.686,00","-10.311,00","-8.332,00","-93.230,00"
Net incurrence of liabilities,US,"366.148,00","281.307,00","-4.596,00","136.911,00","-47.474,00"
Special drawing rights (allocations),US,"0,00","0,00","0,00","0,00","0,00"
Other debt instruments,US,"366.148,00","281.307,00","-4.596,00","136.911,00","-47.474,00"
Central bank,US,"92.010,00","-13.876,00","21.829,00","26.470,00","57.587,00"
"Deposit-taking corporations, except the central bank",US,"161.842,00","155.181,00","3.858,00","38.246,00","-35.443,00"
General Government,US,"16.885,00","2.788,00","4.971,00","3.578,00","5.548,00"
Other sectors,US,"95.411,00","137.214,00","-35.254,00","68.617,00","-75.166,00"
Reserve assets,US,"5.814,05","937,83","1.193,32","794,61","2.888,28"
Monetary gold,US,"0,00","0,00","0,00","0,00","0,00"
Special drawing rights,US,"4.978,87","1.521,54","1.529,95","702,81","1.224,57"
Reserve position in the IMF,US,"807,19","-594,71","-362,63","129,81","1.634,72"
Other reserve assets,US,"28,00","11,00","26,00","-38,00","29,00"
Net errors and omissions,US,"143.179,05","-863,17","143.261,32","9.884,61","-9.103,72"
